Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
08-07-2025,14.3424,,2.065120131,0.011177703,1.2,,1.080015651,0.015570649,0.194208384,0.038954677,0.002666335,0.09,,0.004,0.000576382,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,0,0,,,19.04468999
09-07-2025,14.3424,,2.066173321,0.011177703,1.2,,1.080076474,0.019210649,0.194430384,0.039054677,0.002666335,0.24,,0.004,0.000757373,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,19.19994704
10-07-2025,14.37397134,,2.062695736,0.054860291,1.22429861,,1.080021106,0.016610649,0.194229384,0.038944677,0.002666335,0.24,,0.004,0.00089312,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.29319133
11-07-2025,14.3424,,2.065890881,0.011177703,1.2,,1.080018772,0.015819448,0.194136384,0.038939677,0.002666335,0.24,,0.004,0.000676546,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.19572583
12-07-2025,14.3424,,2.065458482,0.011177703,1.2,,1.080018982,0.015830649,0.194202384,0.038944677,0.002666335,0.24,,0.004,0.000776626,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.19547592
13-07-2025,14.3424,,2.065884807,0.011177703,1.2,,1.080038303,0.019210649,0.194430384,0.039054677,0.002666335,0.23,,0.004,0.000860181,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,19.18972316
14-07-2025,14.46195089,,2.070888471,0.225407078,1.30011666,,1.080017863,0.019550649,0.194289384,0.038944677,0.002666335,0.23,,0.004,0.000779743,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,19.62861183
15-07-2025,14.6208,,2.086526056,0.517371253,1.44,,1.080021678,0.024470649,0.194136384,0.038939677,0.002666335,0.23,,0.004,0.000767866,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,20.23969998
16-07-2025,14.6208,,2.087645004,0.517371513,1.44,,1.080016103,0.028110649,0.194496384,0.039059677,0.002666335,0.24,,0.004,0.001171333,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,20.25533712
17-07-2025,14.6208,,2.086555901,0.517371511,1.44,,1.08003304,0.026590649,0.194136384,0.038939677,0.002666335,0.24,,0.004,0.001332728,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,20.25242631
